ATC;MEGNEV;ANGOL;HATOANYAG
D08AJ;kvaterner ammónium-vegyületek;quaternary ammonium compounds;
D08AJ01;benzalkonium;benzalkonium;benzalkonium
D08AJ02;cetrimonium;cetrimonium;cetrimonium
D08AJ03;cetylpyridinium;cetylpyridinium;cetylpyridinium
D08AJ04;cetrimide;cetrimide;cetrimide
D08AJ05;benzoxonium chloride;benzoxonium chloride;benzoxonium chloride
D08AJ06;didecyldimethylammonium chloride;didecyldimethylammonium chloride;didecyldimethylammonium chloride
D08AJ57;octenidine, combinations;octenidine, combinations;octenidine, combinations
D08AK;higany tartalmú készítmények;mercurial products;
D08AK01;mercuric amidochloride;mercuric amidochloride;mercuric amidochloride
D08AK02;phenylmercuric borate;phenylmercuric borate;phenylmercuric borate
D08AK03;mercuric chloride;mercuric chloride;mercuric chloride
D08AK04;mercurochrome;mercurochrome;mercurochrome
D08AK05;mercury, metallic;mercury, metallic;mercury, metallic
D08AK06;thiomersal;thiomersal;thiomersal
D08AK30;mercuric iodide;mercuric iodide;mercuric iodide
D08AK51;higany-amidoklorid kombinációk;;higany-amidoklorid kombinációk
D08AL;ezüst-vegyületek;silver compounds;
D08AL01;silver nitrate;silver nitrate;silver nitrate
D08AL30;silver;silver;silver
C07CA03;pindolol - diuretikum kombinációk;pindolol - diuretikum kombinációk;pindolol - diuretikum kombinációk
C07CA17;bopindolol and other diuretics;bopindolol and other diuretics;bopindolol and other diuretics
C07CA23;penbutolol and other diuretics;penbutolol and other diuretics;penbutolol and other diuretics
C07CB;szelektív béta-receptor blokkolók és más vizelethajtók;beta blocking agents, selective, and other diuretics;
C07CB02;metoprolol and other diuretics;metoprolol and other diuretics;metoprolol and other diuretics
C07CB03;atenolol - diuretikum kombinációk;atenolol - diuretikum kombinációk;atenolol - diuretikum kombinációk
C07CB53;atenolol and other diuretics, combinations;atenolol and other diuretics, combinations;atenolol and other diuretics, combinations
C07CG;alpha and beta blocking agents and other diuretics;alpha and beta blocking agents and other diuretics;
C07CG01;labetalol and other diuretics;labetalol and other diuretics;labetalol and other diuretics
C07D;béta-receptor blokkolók, thiazidok és más vizelethajtók;beta blocking agents, thiazides and other diuretics;
C07DA;nem szelektív béta-receptor blokkolók, thiazidok és más vizelethajtók;beta blocking agents, non-selective, thiazides and other diuretics;
C07DA06;timolol, thiazides and other diuretics;timolol, thiazides and other diuretics;timolol, thiazides and other diuretics
C07DB;szelektív béta-receptor blokkolók, thiazidok és más vizelethajtók;beta blocking agents, selective, thiazides and other diuretics;
C07DB01;atenolol, thiazides and other diuretics;atenolol, thiazides and other diuretics;atenolol, thiazides and other diuretics
C07E;béta-receptor blokkolók és értágítók;beta blocking agents and vasodilators;
C07EA;nem szelektív béta-receptor blokkolók és értágítók;beta blocking agents, non-selective, and vasodilators;
C07EB;szelektív béta-receptor blokkolók és értágítók;beta blocking agents, selective, and vasodilators;
C07F;béta-receptor blokkolók és vérnyomáscsökkentők;beta blocking agents and other antihypertensives;
C07FA;nem szelektív béta-receptor blokkolók és más vérnyomáscsökkentők;beta blocking agents, non-selective, and other antihypertensives;
C07FA05;propranolol and other combinations;propranolol and other combinations;propranolol and other combinations
C07FB;szelektív béta-receptor blokkolók és más vérnyomáscsökkentők;beta blocking agents, selective, and other antihypertensives;
C07FB02;metoprolol and other antihypertensives;metoprolol and other antihypertensives;metoprolol and other antihypertensives
C07FB03;atenolol and other antihypertensives;atenolol and other antihypertensives;atenolol and other antihypertensives
C08;kalcium-csatorna blokkolók;calcium channel blockers;
C08C;szelektív kalcium-csatorna blokkolók főként érhatásokkal;selective calcium channel blockers with mainly vascular effects;
C08CA;dihydropiridin származékok;dihydropyridine derivatives;
C08CA01;amlodipin;amlodipine;amlodipin
C08CA02;felodipin;felodipine;felodipin
C08CA03;isradipin;isradipine;isradipin
C08CA04;nicardipine;nicardipine;nicardipine
C08CA05;nifedipin;nifedipine;nifedipin
C08CA06;nimodipin;nimodipine;nimodipin
C08CA07;nisoldipin;nisoldipine;nisoldipin
C08CA08;nitrendipin;nitrendipine;nitrendipin
C08CA09;lacidipin;lacidipine;lacidipin
C08CA10;nilvadipine;nilvadipine;nilvadipine
C08CA11;manidipine;manidipine;manidipine
C08CA12;barnidipine;barnidipine;barnidipine
C08CA13;lercanidipine;lercanidipine;lercanidipine
C08CA55;nifedipine, combinations;nifedipine, combinations;nifedipine, combinations
C10AX16;inklizirán;iinclisiran;inklizirán
C08CX;other selective calcium channel blockers with mainly vascular effects;other selective calcium channel blockers with mainly vascular effects;
C08CX01;mibefradil;mibefradil;mibefradil
C08D;szelektív kalcium-csatorna blokkolók közvetlen szívhatásokkal;selective calcium channel blockers with direct cardiac effects;
C08DA;fenilalkilamin származékok;phenylalkylamine derivatives;
C08DA01;verapamil;verapamil;verapamil
C08DA02;gallopamil;gallopamil;gallopamil
C08DA51;verapamil, combinations;verapamil, combinations;verapamil, combinations
C08DB;benzothiazepin származékok;benzothiazepine derivatives;
C08DB01;diltiazem;diltiazem;diltiazem
C08E;nem szelektív kalcium-csatorna blokkolók;non-selective calcium channel blockers;
C08EA;fenilalkilamin származékok;phenylalkylamine derivatives;
C08EA01;fendilin;fendiline;fendilin
C08EA02;bepridil;bepridil;bepridil
C08EX;egyéb nem szelektív kalcium-csatorna blokkolók;other non-selective calcium channel blockers;
C08EX01;lidoflazine;lidoflazine;lidoflazine
C08EX02;perhexiline;perhexiline;perhexiline
C08G;calcium channel blockers and diuretics;calcium channel blockers and diuretics;
C08GA;calcium channel blockers and diuretics;calcium channel blockers and diuretics;
C08GA01;nifedipine and diuretics;nifedipine and diuretics;nifedipine and diuretics
C09;a renin-angiotenzin rendszerre ható készitmények;agents acting on the renin-angiotensin system;
C09A;angiotenzin-konvertáló enzim (ace) gátlók önmagukban;ace inhibitors, plain;
V10BX02;samarium (153sm) lexidronam;samarium (153sm) lexidronam;samarium (153sm) lexidronam
V10XX02;ibritumomab tiuxetan;ibritumomab tiuxetan;ibritumomab tiuxetan
N03AX15;zonisamide;zonisamide;zonisamide
V08CA10;gadoxetic acid;gadoxetic acid;gadoxetic acid
L01XX35;anagrelide;anagrelide;anagrelide
M01AH05;etoricoxib;etoricoxib;etoricoxib
S01LA04;ranibizumab;ranibizumab;ranibizumab
S01EE;Prostaglandin-analógok;;
J01DC;Második generációs cephalosporinok;;
B01AE;direktn thrombin gátlók;;
S01LA;képződést gátló szerek;;
