ID;KOD;LEIRAS
36456;V5260;Teherautó-utas sérülése 2-3 k. mot. járművel ütközésben, közl. bale
36463;V5340;Teherautó-utas sérülése autóval-teherautóval ütk.ben, fel-leszálláskor
36464;V5350;Teherautó-vezető sérülése autóval-teherautóval ütközésben, közl.bal
36467;V5390;Teherautó-k.m.n.utas sérülése autóval-teherautóval ütk.ben, közl.bales
36470;V5420;Teherautó-külső utas sér. nehézjárművel-busszal ütk.ben, nem közl.b
36475;V5470;Teherautó-külső utas sér. nehézjárművel-busszal ütközésben, közl.ba
36476;V5490;Teherautó-k.m.n.utas sér. nehézjárművel-busszal ütközésben, közl.ba
36480;V5530;Teherautó-k.m.n.utas sér. személy-tehervonattal ütk.ben, nem közl.bal.
36482;V5550;Teherautó-vezető sérülése személy-tehervonattal ütk.ben, közl. bale
36496;T7310;A szomjazás hatásai
36509;T7520;Vibratiós hatások
36530;T7990;A trauma korai szövődményei, k.m.n.
35436;T2060;A fej és nyak másodfokú maródása
35438;T2100;A törzs nem meghatározott fokú égése
35440;T2120;A törzs másodfokú égése
35449;T2230;A váll és felső végtag harmadfokú égése, kivéve a csukló és kéz
35450;T2240;A váll és felső végtag k.m.n. fokú maródása, kivéve a csukló és kéz
35452;T2260;A váll és felső végtag másodfokú maródása, kivéve a csukló és kéz
35457;T2330;A csukló és kéz harmadfokú égési sérülése
40136;D3770;Egyéb emésztőszervek bizonytalan és ismeretlen viselkedésű daganata
40143;D3850;Egyéb légzőszervek bizonytalan és ismeretlen viselkedésű daganata
40149;D3990;Női nemiszerv bizonytalan és ismeretlen viselkedésű daganata, k.m.n
40153;D4090;Férfi nemiszerv bizonytalan és ismeretlen viselkedésű daganata, k.m
40156;D4120;Húgyvezeték (ureter) bizonytalan és ismeretlen viselkedésű daganata
40165;D4310;Infratentorialis agy bizonytalan és ismeretlen viselkedésű daganata
33045;M8700;Idiopathiás asepticus csontelhalás többszörös lokalizáció
