EUPONT_ID;GYOGYSZ_ID
99465;61838670
103081;61834695
99465;61821324
99516;61807167
99910;61840908
99489;61826916
98813;61842124
99295;61835032
99913;61839351
99851;61811295
99485;61822079
103081;61834323
99502;61808116
103103;61833201
103079;61833276
103065;61837987
98811;61815967
99440;61817135
103089;61839182
98833;61827594
103088;61841853
99465;61840632
99456;61836295
103061;61837387
99290;61826892
98797;61808673
99483;61836484
98937;61814411
98799;61840667
99853;61826812
99910;61836975
98812;61817848
103101;61811330
99465;61839679
103061;61844634
98833;61827488
99465;61840367
101919;61840320
103078;61815611
99906;61808239
99449;61839245
98799;61807697
103104;61839450
101398;61805742
103078;61813740
99457;61834190
103078;61822609
99913;61840523
99484;61843938
98986;61816885
103086;61837716
98986;61842781
99291;61824755
100962;61816425
101920;61834503
103088;61816973
99523;61833550
100974;61837228
98813;61839268
103087;61840427
103078;61806766
99910;61836583
103088;61840909
101920;61821088
99851;61826710
99915;61838819
101920;61840329
103078;61809669
100973;61835727
99906;61806948
103061;61842124
99516;61815180
100974;61845860
103061;61840544
99854;61808113
99919;61835750
99513;61806379
98833;61827160
99513;61808696
103075;61846039
98833;61815609
98832;61814565
103088;61838797
98833;61826717
103162;61822477
99473;61806392
99504;61827945
103162;61833407
100974;61836216
103081;61840633
99513;61807559
99449;61836213
103101;61819358
99465;61839239
99910;61840930
99444;61808594
99489;61827844
98833;61816984
99517;61825279
99919;61837224
100962;61827786
99910;61840841
99518;61835514
99913;61830125
103061;61836602
103162;61825947
103087;61840423
103106;61826414
99465;61836407
99513;61819551
103085;61827736
99465;61823261
103106;61807823
103162;61833671
101920;61833324
99461;61835083
99498;61806679
99449;61822347
99442;61814565
99471;61823544
103083;61814869
98832;61814574
99851;61807593
98812;61825826
103057;61806903
98909;61807024
99497;61811489
103086;61814593
103105;61815175
99910;61808901
103061;61846163
99910;61836972
99427;61807928
99479;61838186
101398;61805644
99851;61817230
103086;61836382
99483;61836483
103078;61818510
99469;61808395
98978;61823642
99502;61808626
99851;61829166
103076;61837686
103087;61807575
103074;61834395
98909;61834926
99498;61834797
99498;61834799
99502;61808020
103081;61838601
103078;61828807
99449;61824572
99465;61833269
103102;61826129
99862;61831478
103078;61842378
98956;61806679
103077;61808442
99517;61808620
99498;61806678
103102;61826193
103088;61835047
99506;61807030
103102;61826169
103101;61826648
103094;61815980
103081;61843225
103077;61808441
103088;61840844
99851;61809531
103089;61836100
103085;61807716
98798;61807345
99516;61808414
99906;61809533
98799;61807458
99465;61842017
103087;61806732
103061;61837411
98811;61815395
103090;61837415
101394;61806345
99473;61819344
103081;61839906
103088;61840543
99290;61838662
103088;61836524
99465;61842130
103094;61812385
100962;61831210
99518;61819729
103057;61827019
103088;61836782
99517;61819981
99498;61830732
98997;61826443
99513;61806376
99489;61839764
99451;61809018
99513;61807060
99471;61808316
103101;61815450
99509;61815282
99910;61808900
100962;61843908
98813;61835429
103162;61827375
101919;61840330
99498;61830735
99502;61808627
99898;61806463
99853;61828893
99437;61806642
98851;61807157
99502;61808308
99461;61811777
103106;61825514
103057;61806919
99910;61839844
103079;61833401
99469;61807242
99449;61822354
103072;61826710
