ID;EUPONT_ID;NDX;LEIRAS
37109182;99488;1;A legutóbbi Magyar Kardiovaszkuláris Terápiás Konszenzus Konferencia terápiás ajánlása alapján igen nagy kardiovaszkuláris kockázatú hyperlipidaemiás, veseelégtelenségben szenvedő (30 ml/perc alatti GFR), illetve dializált beteg számára, akinél atorvastatinnal, vagy simvastatinnal folytatott három hónapos kezelést követően laborkontroll alapján nem sikerült a kívánt célérték (LDL 1,8 mmol/l, össz. Chol. 3,5 mmol/l) elérése. Az ezetimibe hatóanyagot tartalmazó kombinációs készítmény alkalmazása javasolt akkor is, ha bizonyított mellékhatás miatt csak kisebb adag sztatin szedése lehetséges, amely mellett nem sikerült a célérték elérése.
37109403;99489;1;Felnőtt cukorbeteg részére, fájdalmas neuropathiában
37110013;99493;1;Közepes thromboemboliás kockázattal járó állapot esetén a vénás thromboemboliás esemény elsődleges megelőzésére a kórházi terápia folytatásaként, profilaktikus dózisban a kockázat fennállásának idejére
37110058;99494;1;Nagy és az igen nagy thromboemboliás kockázattal járó állapot esetén a vénás thromboemboliás esemény elsődleges megelőzésére a kórházi terápia folytatásaként, profilaktikus dózisban a kockázat fennállásának idejére
37110059;99494;2;  Thromboemboliás szövődményekhez vezető veleszületett vagy szerzett, dokumentált thrombophilia halmozott kockázattal járó eseteiben, profilaktikus dózisban a kockázat fennállásának idejére
37110060;99494;3;Vénás thromboembolia másodlagos megelőzésére, amennyiben az orális K-vitamin antagonisták (acenocumarol, warfarin) ellenjavalltak
37110149;99495;1;A kialakult vénás thrombózis, illetve tüdőembolia kezelésére - az adott készítmény alkalmazási előírása szerinti terápiás dózisban és időtartamban - az orális antikoaguláns kezelésre való átállásig
37110150;99495;2; Vénás thromboembolia másodlagos megelőzésére, amennyiben az orális K-vitamin antagonisták (acenocumarol, warfarin) ellenjavalltak
37110151;99495;3; Thromboemboliás szövődményekhez vezető veleszületett vagy szerzett, dokumentált thrombophilia halmozott kockázattal járó eseteiben, profilaktikus dózisban a kockázat fennállásának idejére
37110268;99496;1;Epilepszia
37110477;99497;1;Epilepszia, az 5/a1. pontban felsorolt szerekre dokumentált rezisztencia esetén
37110713;99498;1;Epilepszia, az 5/a1- 5/a2. pontokban felsorolt szerekre dokumentált rezisztencia esetén
37108245;99472;6;Fiatalkori rheumatoid arthritis  esetén - az adott készítmény alkalmazási előírásában szereplő életkori korlátozások figyelembe vételével, az ott szereplő javallatokban
37108384;99473;1;Rheumatoid arthritis, ha a beteg 65 évnél idősebb, vagy gyomor-bélnyálkahártya sérülés nagy kockázata áll fenn (előzetes ulcus dokumentált eseteiben, NSAID okozta gastrointestinalis vérzés dokumentált eseteiben), vagy tartósan steroidot szed, vagy vérzékenységben szenved, vagy antikoaguláns kezelésben részesül (ideértve a salicilát profilaxist is) az adott készítmény alkalmazási előírásában szereplő javallatok és kardiovascularis kockázati tényezők figyelembevételével
37108385;99473;2;Spondylitis ankylopoetica, ha a beteg 65 évnél idősebb, vagy gyomor-bélnyálkahártya sérülés nagy kockázata áll fenn (előzetes ulcus dokumentált eseteiben, NSAID okozta gastrointestinalis vérzés dokumentált eseteiben), vagy tartósan steroidot szed, vagy vérzékenységben szenved, vagy antikoaguláns kezelésben részesül (ideértve a salicilát profilaxist is) az adott készítmény alkalmazási előírásában szereplő javallatok és kardiovascularis kockázati tényezők figyelembevételével
