EUPONT_ID;KATEGORIA_ID;KATEGORIA;JOGOSULT;JIDOKORLAT;SZAKV_ID;KIINT_ID
99854;3;Kijelölt intézmény;írhat;0;71457;37786639
99493;1;Fekvőbeteg gyógyintézet;javasolhat és írhat;0;75419;1
99851;0;Megkötés nélkül;javaslatra írhat;12;54252;1
99902;6;Kijelölt intézmény szakorvosa;írhat;0;54233;1
98943;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;75390;1
103089;3;Kijelölt intézmény;írhat;0;71457;37786665
98949;2;Járóbeteg szakrendelés;írhat;0;75419;1
103058;3;Kijelölt intézmény;javasolhat és írhat;0;71457;37786642
103057;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;54263;1
103100;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54235;1
99909;3;Kijelölt intézmény;írhat;0;71457;37786639
99917;3;Kijelölt intézmény;írhat;0;71457;37786642
99511;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;75427;1
99471;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;75418;1
98795;9;Fekvőbeteg gyógyintézeti háttérrel rendelkező járóbeteg szakr.;írhat;0;54281;1
99854;3;Kijelölt intézmény;írhat;0;71457;37786642
99923;3;Kijelölt intézmény;írhat;0;71457;37786645
103069;3;Kijelölt intézmény;írhat;0;54298;37786635
99446;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54286;1
98851;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;75392;1
99910;3;Kijelölt intézmény;írhat;0;71457;37786678
101919;6;Kijelölt intézmény szakorvosa;írhat;0;54218;1
99461;7;Diabetológiai szakellátóhely;javasolhat és írhat;0;54217;1
100972;3;Kijelölt intézmény;írhat;0;71457;37786639
99914;3;Kijelölt intézmény;javasolhat és írhat;0;71457;37786634
99495;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54249;1
103088;3;Kijelölt intézmény;írhat;0;71457;37786639
99526;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54217;1
103088;3;Kijelölt intézmény;írhat;0;71457;37786633
99914;3;Kijelölt intézmény;javasolhat és írhat;0;71457;37786678
99439;0;Megkötés nélkül;javasolhat és írhat;0;75400;1
99459;7;Diabetológiai szakellátóhely;javasolhat és írhat;0;75387;1
103073;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;54273;1
103106;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;75438;1
101919;3;Kijelölt intézmény;írhat;0;71457;37786633
99851;3;Kijelölt intézmény;javasolhat és írhat;0;71457;37786673
103090;3;Kijelölt intézmény;javasolhat és írhat;0;71457;37786642
99485;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54216;1
99913;3;Kijelölt intézmény;írhat;0;71457;37786645
103062;3;Kijelölt intézmény;írhat;0;71457;37786645
99293;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;54252;1
103162;3;Kijelölt intézmény;írhat;0;71457;37786645
99533;5;Háziorvos;javaslatra írhat;12;1;1
100973;5;Háziorvos;javaslatra írhat;12;1;1
103093;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54237;1
99528;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54233;1
100969;3;Kijelölt intézmény;írhat;0;71457;37786645
99467;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;75387;1
99529;5;Háziorvos;javaslatra írhat;12;1;1
100969;3;Kijelölt intézmény;írhat;0;71457;37786686
100967;3;Kijelölt intézmény;írhat;0;71457;37786642
99485;5;Háziorvos;javaslatra írhat;12;1;1
99923;3;Kijelölt intézmény;írhat;0;71457;37786661
98808;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;75418;1
99920;3;Kijelölt intézmény;írhat;0;71457;37786686
103086;3;Kijelölt intézmény;írhat;0;71457;37786660
98986;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;75390;1
99452;5;Háziorvos;javaslatra írhat;12;1;1
103069;3;Kijelölt intézmény;írhat;0;54298;37786632
99512;0;Megkötés nélkül;írhat;0;54267;1
103105;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;75405;1
99495;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54246;1
101919;3;Kijelölt intézmény;írhat;0;71457;37786654
99449;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;75387;1
98943;7;Diabetológiai szakellátóhely;írhat;0;54217;1
99494;1;Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54233;1
103058;3;Kijelölt intézmény;javasolhat és írhat;0;71457;37786636
98909;5;Háziorvos;írhat;0;1;1
99460;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54219;1
99480;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54222;1
103085;3;Kijelölt intézmény;írhat;0;71457;37786660
100972;3;Kijelölt intézmény;írhat;0;71457;37786663
99497;0;Megkötés nélkül;írhat;0;54235;1
103081;3;Kijelölt intézmény;írhat;0;71457;37786661
103062;3;Kijelölt intézmény;írhat;0;71457;37786635
103062;3;Kijelölt intézmény;írhat;0;71457;37786648
99953;3;Kijelölt intézmény;írhat;0;71457;37786699
103105;0;Megkötés nélkül;javasolhat és írhat;0;75405;1
101394;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54264;1
99467;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54235;1
103104;0;Megkötés nélkül;írhat;0;54272;1
99460;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54263;1
99910;3;Kijelölt intézmény;írhat;0;71457;37786692
99854;3;Kijelölt intézmény;írhat;0;71457;37786690
101920;3;Kijelölt intézmény;írhat;0;71457;37786665
103088;6;Kijelölt intézmény szakorvosa;írhat;0;54253;1
103088;3;Kijelölt intézmény;írhat;0;71457;37786673
103085;3;Kijelölt intézmény;írhat;0;71457;37786653
103086;3;Kijelölt intézmény;írhat;0;71457;37786639
103079;6;Kijelölt intézmény szakorvosa;írhat;0;54232;1
100973;3;Kijelölt intézmény;javasolhat és írhat;0;71457;37786657
103081;3;Kijelölt intézmény;írhat;0;71457;37786660
103079;3;Kijelölt intézmény;írhat;0;71457;37786667
103069;3;Kijelölt intézmény;írhat;0;54298;37786659
99909;3;Kijelölt intézmény;írhat;0;71457;37786642
103061;3;Kijelölt intézmény;írhat;0;71457;37786642
99485;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54235;1
99851;0;Megkötés nélkül;javaslatra írhat;12;54223;1
98980;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;75405;1
100972;3;Kijelölt intézmény;írhat;0;71457;37786635
99910;3;Kijelölt intézmény;írhat;0;71457;37786638
99913;6;Kijelölt intézmény szakorvosa;írhat;0;54273;1
100963;3;Kijelölt intézmény;írhat;0;71457;37786647
98812;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;54247;1
99913;3;Kijelölt intézmény;írhat;0;71457;37786640
99922;3;Kijelölt intézmény;írhat;0;71457;37786645
103062;6;Kijelölt intézmény szakorvosa;írhat;0;86313;1
99853;3;Kijelölt intézmény;írhat;0;71457;37786638
103057;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;75402;1
99854;3;Kijelölt intézmény;írhat;0;71457;37786684
99428;7;Diabetológiai szakellátóhely;javasolhat és írhat;0;54217;1
103066;6;Kijelölt intézmény szakorvosa;írhat;0;54263;1
99489;5;Háziorvos;javaslatra írhat;12;1;1
99489;7;Diabetológiai szakellátóhely;javasolhat és írhat;0;54217;1
103058;3;Kijelölt intézmény;javasolhat és írhat;0;71457;37786631
100973;3;Kijelölt intézmény;javasolhat és írhat;0;71457;37786671
99484;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54273;1
100974;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javaslatra írhat;0;54224;1
99915;3;Kijelölt intézmény;írhat;0;71457;37786632
99435;5;Háziorvos;javaslatra írhat;12;1;1
99461;5;Háziorvos;javaslatra írhat;6;1;1
100975;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54215;1
99458;7;Diabetológiai szakellátóhely;javasolhat és írhat;0;54219;1
99000;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;54250;1
98803;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;54281;1
99449;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54267;1
99903;3;Kijelölt intézmény;írhat;0;71457;37786681
103061;6;Kijelölt intézmény szakorvosa;írhat;0;75402;1
99441;5;Háziorvos;javaslatra írhat;12;1;1
103058;3;Kijelölt intézmény;javasolhat és írhat;0;71457;37786647
98951;2;Járóbeteg szakrendelés;írhat;0;75419;1
99906;3;Kijelölt intézmény;írhat;0;71457;37786636
99901;3;Kijelölt intézmény;javasolhat és írhat;0;71457;37786651
103081;3;Kijelölt intézmény;írhat;0;71457;37786680
99493;1;Fekvőbeteg gyógyintézet;javasolhat és írhat;0;75385;1
103101;5;Háziorvos;javaslatra írhat;12;1;1
103086;3;Kijelölt intézmény;írhat;0;71457;37786640
100973;3;Kijelölt intézmény;javasolhat és írhat;0;71457;37786635
99518;5;Háziorvos;javaslatra írhat;12;1;1
99437;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;75438;1
103085;6;Kijelölt intézmény szakorvosa;írhat;0;54273;1
103089;3;Kijelölt intézmény;írhat;0;71457;37786645
103091;8;Menopauza és osteoporózis járóbeteg-szakrendelés;javasolhat és írhat;0;75387;1
99430;5;Háziorvos;javaslatra írhat;12;1;1
99485;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54249;1
99494;1;Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54230;1
99512;0;Megkötés nélkül;írhat;0;54223;1
99910;3;Kijelölt intézmény;írhat;0;71457;37786640
103086;3;Kijelölt intézmény;írhat;0;71457;37786632
99436;5;Háziorvos;javaslatra írhat;12;1;1
99923;3;Kijelölt intézmény;írhat;0;71457;37786686
103076;3;Kijelölt intézmény;írhat;0;71457;37786673
103089;3;Kijelölt intézmény;írhat;0;71457;37786639
99953;3;Kijelölt intézmény;írhat;0;71457;37786645
99456;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54242;1
103068;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;54233;1
103078;0;Megkötés nélkül;írhat;0;54242;1
103104;0;Megkötés nélkül;írhat;0;75438;1
100975;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javaslatra írhat;0;54224;1
99531;5;Háziorvos;javaslatra írhat;12;1;1
103062;3;Kijelölt intézmény;írhat;0;71457;37786651
99449;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;75390;1
99429;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54263;1
103079;3;Kijelölt intézmény;írhat;0;71457;37786675
99902;6;Kijelölt intézmény szakorvosa;írhat;0;75438;1
99631;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;54219;1
