ID;EUTIP;KODSZAM;PERJEL;IND_TIP
98795;EÜ100;8;a1;G
98797;EÜ100;8;b1;G
98798;EÜ100;8;b2;G
98799;EÜ100;8;b3;G
98803;EÜ100;8;d3;G
98804;EÜ100;8;e;G
98808;EÜ100;8;h1;G
98809;EÜ100;8;h2;G
98810;EÜ100;8;i1;G
98811;EÜ100;8;i2;G
98812;EÜ100;8;i3;G
98813;EÜ100;8;i4;G
98815;EÜ100;8;k;G
98816;EÜ100;8;l1;G
98820;EÜ100;8;n2;G
98822;EÜ100;8;o;G
98824;EÜ100;8;sz2;G
98832;EÜ100;10;b3;G
98833;EÜ100;10;b4;G
98839;EÜ100;12;;G
98943;EÜ90;2;a;G
98949;EÜ90;4;a2;G
98840;EÜ100;13;a1;G
98841;EÜ100;13;a2;G
98842;EÜ100;14;;G
98850;EÜ100;21;a;G
98851;EÜ100;22;;G
98855;EÜ100;27;;G
98933;EÜ70;22;;G
98937;EÜ70;27;;G
98939;EÜ70;29;;G
98883;EÜ100;55;;G
98886;EÜ100;58;;G
98876;EÜ100;39;b;G
98892;EÜ100;64;;G
98896;EÜ100;68;;G
98904;EÜ50;7;;G
98790;EÜ100;5;;G
98909;EÜ50;11;;G
99852;EÜ100;7;b;G
99909;EÜ100;36;c;G
99910;EÜ100;37;a;G
99469;EÜ70;5;;G
99471;EÜ70;7;;G
99472;EÜ70;8;a;G
99473;EÜ70;8;b;G
99478;EÜ70;12;;G
99479;EÜ70;14;;G
99480;EÜ70;15;;G
99493;EÜ90;4;a1;G
100995;EÜ70;30;;G
99495;EÜ90;4;c1;G
99496;EÜ90;5;a1;G
99497;EÜ90;5;a2;G
99481;EÜ70;16;;G
99483;EÜ70;25;;G
99484;EÜ70;26;;G
99485;EÜ70;28;;G
99487;EÜ90;1;e;G
99488;EÜ90;1;f;G
99489;EÜ90;2;b;G
99494;EÜ90;4;b1;G
101394;EÜ100;57;;G
101395;EÜ100;65;;G
103079;EÜ100;23;a;G
103081;EÜ100;34;;G
103082;EÜ50;10;;G
103083;EÜ70;2;a3;G
103085;EÜ100;36;a;G
103086;EÜ100;36;b;G
103087;EÜ70;9;a1;G
103088;EÜ100;37;c;G
103089;EÜ100;38;c;G
103090;EÜ100;66;;G
103091;EÜ70;9;a2;G
103092;EÜ70;9;a3;G
103093;EÜ70;9;a4;G
103094;EÜ70;9;b1;G
103095;EÜ70;9;b2;G
103096;EÜ70;9;b3;G
103097;EÜ70;33;;G
103098;EÜ70;34;;G
103100;EÜ90;6;a;G
103101;EÜ90;6;b;G
103102;EÜ90;6;c;G
103103;EÜ90;29;;G
103104;EÜ90;3;a;G
103105;EÜ90;3;a4;G
103106;EÜ90;3;b;G
103057;EÜ100;8;c;G
103058;EÜ100;28;;G
103059;EÜ100;29;;G
103060;EÜ100;33;;G
103152;EÜ90;40;;G
103061;EÜ100;37;b;G
103062;EÜ100;56;;G
103065;EÜ100;79;;G
103066;EÜ100;80;;G
103067;EÜ100;81;;G
103068;EÜ100;82;;G
103069;EÜ100;83;;G
103071;EÜ100;85;;G
103072;EÜ100;86;;G
103073;EÜ100;87;;G
103074;EÜ100;8;h3;G
103075;EÜ100;8;l2;G
103076;EÜ100;8;u;G
103077;EÜ100;10;a1;G
103078;EÜ100;10;a2;G
99854;EÜ100;9;b;G
100967;EÜ100;72;;G
100969;EÜ100;73;;G
100970;EÜ100;74;;G
100972;EÜ70;31;;G
100973;EÜ70;24;;G
100974;EÜ70;13;;G
100975;EÜ90;26;;G
100976;EÜ90;33;;G
100962;EÜ100;51;;G
100963;EÜ100;62;;G
99853;EÜ100;8;t;G
99851;EÜ100;7;a;G
99862;EÜ100;31;d;G
99898;EÜ100;24;;G
99899;EÜ100;25;;G
99901;EÜ100;30;a;G
99902;EÜ100;31;a;G
99903;EÜ100;31;b;G
99904;EÜ100;31;c;G
99913;EÜ100;38;b;G
99427;EÜ100;1;;G
99428;EÜ100;2;;G
99429;EÜ100;3;;G
99430;EÜ100;4;;G
99431;EÜ100;6;a;G
99432;EÜ100;6;b;G
99434;EÜ100;8;g1;G
99435;EÜ100;8;g2;G
99436;EÜ100;8;j;G
99437;EÜ100;9;a;G
99439;EÜ100;10;b1;G
99440;EÜ100;10;b2;G
99441;EÜ100;10;c1;G
99442;EÜ100;10;c2;G
99914;EÜ100;39;a;G
99915;EÜ100;41;;G
99917;EÜ100;43;;G
99919;EÜ100;50;;G
99920;EÜ100;52;;G
99443;EÜ100;10;d1;G
99444;EÜ100;10;d2;G
99445;EÜ100;11;;G
99446;EÜ100;15;a;G
99447;EÜ100;15;b;G
99448;EÜ100;16;;G
99449;EÜ100;17;;G
99450;EÜ100;18;;G
99451;EÜ100;19;;G
99452;EÜ100;20;;G
99502;EÜ90;7;a1;G
99503;EÜ90;7;a2;G
99504;EÜ90;7;a3;G
99505;EÜ90;7;b1;G
99506;EÜ90;7;b2;G
99507;EÜ90;7;b3;G
99508;EÜ90;7;c;G
99509;EÜ90;8;;G
99510;EÜ90;10;;G
99511;EÜ90;11;a;G
99512;EÜ90;11;b;G
99513;EÜ90;12;;G
99514;EÜ90;15;;G
99515;EÜ90;18;;G
99516;EÜ90;20;a;G
99517;EÜ90;22;a;G
99518;EÜ90;22;b;G
99519;EÜ90;23;;G
99520;EÜ90;24;a2;G
99498;EÜ90;5;a3;G
99521;EÜ90;24;b2;G
99523;EÜ90;25;;G
99525;EÜ90;27;;G
99526;EÜ90;30;;G
99527;EÜ90;34;;G
99528;EÜ90;37;;G
99529;EÜ100;70;;G
99531;EÜ90;38;;G
99533;EÜ90;31;;G
99631;EÜ100;69;;G
99922;EÜ100;59;;G
99923;EÜ100;61;;G
99953;EÜ100;42;;G
99906;EÜ100;35;;G
99455;EÜ100;60;;G
99456;EÜ50;3;a;G
99457;EÜ50;3;b;G
99458;EÜ50;6;a;G
99459;EÜ50;6;b;G
99460;EÜ50;6;c;G
99461;EÜ50;6;d;G
99465;EÜ70;1;;G
99467;EÜ70;2;a2;G
103162;EÜ100;71;;G
101919;EÜ100;77;a1;G
101920;EÜ100;77;a2;G
99284;EÜ100;67;;G
99287;EÜ100;8;a2;G
99290;EÜ100;8;d2;G
99291;EÜ100;8;f;G
99292;EÜ100;8;n1;G
99293;EÜ100;8;n3;G
99294;EÜ100;8;p;G
99295;EÜ100;32;;G
99301;EÜ100;38;a;G
98951;EÜ90;4;b2;G
98956;EÜ90;5;b1;G
98957;EÜ90;5;b2;G
98973;EÜ90;14;a;G
98976;EÜ90;17;;G
98978;EÜ90;19;;G
98980;EÜ90;21;;G
98984;EÜ90;24;a1;G
98986;EÜ90;24;b1;G
98993;EÜ90;28;;G
98997;EÜ90;32;;G
99000;EÜ90;35;;G
101986;EÜ90;39;;G
101397;EÜ100;76;;G
101398;EÜ70;32;;G
