ID;EGYEN_ID;LEIRAS
58;58;atorxvastatin 10 mg filmtabletta
59;59;atorvastatin 20 mg filmtabletta
60;60;atorvastatin 40 mg filmtabletta
61;61;atorvastatin 80 mg filmtabletta
230;230;fluvastatin 40 mg kapszula
231;231;fluvastatin 80 mg retard tabletta
306;306;lovastatin 20 mg tabletta
307;307;lovastatin 40 mg tabletta
404;404;pravastatin 10 mg filmtabletta/tabletta
405;405;pravastatin 20 mg filmtabletta/tabletta
406;406;pravastatin 40 mg filmtabletta/tabletta
443;443;rosuvastatin 10 mg filmtabletta
444;444;rosuvastatin 20 mg filmtabletta
445;445;rosuvastatin 40 mg filmtabletta
459;459;simvastatin 5 mg filmtabletta
460;460;simvastatin 10 mg fimtabletta
461;461;simvastatin 20 mg fimtabletta
462;462;simvastatin 30 mg fimtabletta
463;463;simvastatin 40 mg fimtabletta
464;464;simvastatin 80 mg fimtabletta
677;677;fluvastatin 20 mg kapszula
746;746;rosuvastatin 5 mg filmtabletta
1031;1031;rosuvastatin 30 mg
1032;1032;rosuvastatin 15 mg
50003;50003;atorvastatin 30 mg filmtabletta
50004;50004;atorvastatin 60 mg filmtabletta
