PECSETKOD;SZAKV_ID
1;75437
12;75436
13;54246
19;75436
19;75440
20;54219
33;54252
33;75436
34;75440
39;75411
39;75436
47;69957
47;75436
53;75411
55;54219
58;54246
64;69957
73;54219
75;54250
75;75436
75;75440
84;69964
90;54248
104;54248
110;69957
152;75419
155;54217
155;69964
158;54219
180;75406
191;54245
195;69957
198;54235
198;54242
218;69964
222;54219
223;54246
225;69964
226;75406
249;75411
254;54242
270;54217
276;54217
283;69964
288;69964
299;54217
299;75440
301;54217
301;54244
301;69964
308;54217
308;54247
332;54226
332;54246
334;54217
339;54246
339;54281
341;54217
343;75406
345;54217
346;54246
346;54281
350;54217
350;54245
350;54276
363;54219
363;54287
367;54246
368;54219
370;54238
370;75411
381;54217
381;69964
382;54215
382;54246
383;54250
384;54222
386;54217
386;54233
386;54294
388;54246
389;54219
394;75440
398;54218
400;54217
400;75411
402;54248
404;69957
425;54219
437;54219
442;75406
460;54244
460;54246
460;54294
460;75415
460;75436
466;54252
467;54235
467;54242
468;54246
468;54283
470;54252
480;54219
482;54215
482;54246
485;54252
486;54217
486;54245
489;54243
491;54250
492;54252
501;54246
506;54246
508;54246
523;75406
526;54252
528;54246
538;54248
543;54219
567;54241
570;54252
571;54217
573;54217
580;54252
580;69964
582;54252
585;54243
586;54218
595;54250
605;54217
605;54263
607;54217
607;54263
608;54217
612;54217
613;54217
613;54233
615;54217
615;54233
616;54217
616;75406
618;54217
620;54217
620;54223
620;75406
621;54217
621;54233
623;54217
623;54220
623;54233
624;54217
624;54223
625;54217
626;54217
635;54217
636;54217
636;54233
641;75406
645;54217
646;54217
646;54233
649;54217
650;54217
650;54263
651;54217
652;54217
652;54286
652;75404
653;54217
653;54243
654;54217
654;54286
664;54219
669;54219
669;54243
672;54219
673;54219
675;54219
676;54219
679;54219
679;54261
684;54215
684;54219
685;54219
686;54219
686;54261
688;54219
691;54219
691;54225
693;54219
694;54219
695;54219
696;54219
696;75436
697;54219
697;75405
705;54215
705;54219
705;54287
707;54219
708;54219
711;54219
711;54287
713;54219
714;54219
716;54226
716;54246
717;54219
717;54281
720;54219
721;54219
723;54219
724;54219
724;75404
726;54219
727;54219
727;75406
728;54219
730;54219
733;54219
733;54261
734;54219
737;54219
737;54223
738;54219
747;54246
751;54215
751;54241
751;54246
752;54246
752;54264
753;54246
753;75437
754;54243
754;54246
754;54277
754;75437
759;54241
759;54246
762;54219
763;54246
765;54243
768;54246
768;54283
769;54243
769;54246
769;54252
770;54246
770;75437
772;54246
778;54215
778;54250
779;54246
779;75426
779;75437
780;54246
784;54215
784;54246
784;54264
788;54246
788;54262
788;75426
788;75437
790;54246
796;54243
796;54246
800;54222
805;54215
805;54246
806;54246
812;54217
812;75429
813;54246
819;54217
821;54246
821;54283
823;54215
823;54246
824;54246
824;54283
826;54215
826;54246
826;54283
830;54226
830;54294
832;54246
832;54264
833;54217
833;54223
844;54250
847;54215
847;54250
851;54215
851;54250
852;54243
852;54250
862;54250
863;54250
865;54250
865;54281
866;54250
868;54250
869;54215
869;54250
876;54250
876;75436
877;54250
879;54243
879;54246
883;54250
884;54250
886;54250
887;54250
889;54250
891;54250
891;75406
891;75436
894;54250
895;54250
896;54250
905;54248
906;54248
908;54248
915;54248
918;54248
920;54248
921;54246
921;54248
922;54248
923;54248
924;54248
929;54217
933;54217
942;54217
942;54263
943;54217
946;54217
946;54278
948;54217
951;54217
951;54233
953;54217
955;54217
955;54273
958;54217
958;54243
959;54217
959;54273
961;54217
962;54217
962;54233
963;54217
963;54233
964;54229
965;54217
965;75436
972;54248
973;54248
974;54248
975;54248
979;54248
981;54248
983;54248
984;54248
985;54248
995;54215
995;54219
995;54222
995;54224
996;54222
998;54222
998;54259
1001;54244
